Ticker,Lloyd's Algorithm,Frank-wolfe Algorithm,Trace Maximization
A,4,5,5
AA,0,4,0
AAL,2,4,2
AAN,0,4,0
AAON,0,4,0
AAP,4,5,5
AAPL,4,5,5
ABBV,4,5,5
ABEV,2,4,2
ABT,4,4,5
ACA,4,5,5
ACCO,4,5,5
ACI,4,5,5
ADEA,4,5,5
ADI,4,5,5
ADM,4,5,5
ADT,4,5,5
ADTN,4,5,5
AEE,4,5,5
AEIS,0,4,0
AEM,4,5,5
AEO,0,4,0
AEP,4,5,5
AES,4,5,5
AG,0,4,0
AGCO,4,5,5
AGI,4,5,5
AGR,4,5,5
AGRO,2,4,2
AHT-PD,0,4,0
AHT-PF,0,4,0
AHT-PG,0,4,0
AHT-PH,0,4,0
AHT-PI,0,4,0
AIN,4,5,5
AIR,2,4,2
AIRTP,4,5,5
AIT,4,5,5
ALB,4,5,5
ALC,2,4,2
ALCO,4,5,5
ALE,4,5,5
ALEX,4,4,5
ALG,4,5,5
ALGT,2,4,2
ALK,2,4,2
ALLE,4,4,5
ALNT,4,5,5
ALOT,2,4,2
ALSN,4,5,5
ALTG,2,4,2
ALTG-PA,0,4,0
ALV,0,4,0
AMAT,4,5,5
AMBP,2,2,2
AMC,2,4,2
AMCR,4,5,5
AME,4,5,5
AMGN,4,5,5
AMKR,0,4,0
AMR,2,6,2
AMRK,0,4,0
AMX,0,4,0
ANDE,4,5,5
ANF,2,4,2
AOS,4,5,5
APA,4,5,5
APD,4,5,5
APH,4,5,5
APOG,4,5,5
APTV,2,4,2
AQN,4,5,5
AQNU,0,4,0
ARC,4,4,5
ARCH,0,0,0
ARCO,0,4,0
ARKO,2,4,2
ARKR,2,4,2
ARLP,0,4,0
ARMK,4,5,5
AROC,4,5,5
ARQ,2,4,2
ARTNA,4,5,5
ASAI,2,4,2
ASC,2,4,2
ASH,4,5,5
ASIX,0,4,0
ASML,0,6,0
ASO,2,4,2
ASR,2,6,2
ASTE,4,5,5
ASTL,0,4,0
ASX,2,4,2
ATCO-PD,4,5,5
ATCO-PH,4,5,5
ATEN,0,4,0
ATNI,4,5,5
ATO,4,5,5
ATR,4,5,5
AU,0,4,0
AUDC,0,4,0
AUVIP,4,5,5
AVA,4,4,5
AVD,4,4,5
AVGO,4,0,5
AVNT,4,5,5
AVT,4,5,5
AVY,4,5,5
AWI,4,5,5
AWK,4,5,5
AWR,4,5,5
AY,4,5,5
AYI,4,5,5
AZN,0,4,0
AZTA,0,4,0
AZZ,4,5,5
B,4,5,5
BA,2,4,2
BAK,2,6,2
BALL,4,5,5
BALY,2,4,2
BAX,4,5,5
BBW,2,4,2
BBWI,0,4,0
BBY,4,5,5
BC,4,5,5
BCC,4,5,5
BCE,4,5,5
BCPC,2,4,2
BDC,4,5,5
BDX,4,5,5
BEDU,2,6,2
BELFA,4,5,5
BELFB,4,5,5
BEP,4,5,5
BEP-PA,4,4,5
BEPC,4,4,5
BERY,2,4,2
BF-A,4,5,5
BF-B,4,5,5
BFH,4,5,5
BG,4,5,5
BGFV,4,5,5
BGS,4,4,5
BHE,4,5,5
BHP,2,6,2
BHR,2,4,2
BHR-PB,4,5,5
BHR-PD,4,5,5
BIG,4,4,5
BIP,4,5,5
BIP-PA,0,4,0
BIP-PB,0,4,0
BJRI,2,4,2
BKH,4,5,5
BKR,4,5,5
BLMN,0,4,0
BMY,4,5,5
BN,4,5,5
BNTX,2,4,2
BOOM,2,4,2
BP,4,5,5
BPYPN,4,4,5
BPYPO,4,5,5
BPYPP,4,4,5
BRC,4,5,5
BRKR,4,5,5
BRY,4,4,5
BSET,4,5,5
BTI,4,5,5
BUD,2,4,2
BVN,2,4,2
BW-PA,0,4,0
BWA,4,5,5
BWMX,4,4,5
BYD,2,4,2
CAE,2,4,2
CAG,4,5,5
CAH,4,5,5
CAKE,2,4,2
CAL,4,5,5
CALM,2,4,2
CAPL,4,5,5
CARR,4,4,5
CAT,4,5,5
CATO,0,4,0
CBD,2,4,2
CBRL,0,6,0
CBT,4,5,5
CC,4,5,5
CCEP,2,6,2
CCJ,2,2,2
CCK,0,4,0
CCL,2,4,2
CCLDO,4,4,5
CCLDP,1,5,1
CCLP,4,5,5
CCU,0,4,0
CDRE,0,4,0
CDW,4,5,5
CE,4,5,5
CEG,2,4,2
CEIX,2,6,2
CEPU,2,4,2
CF,4,5,5
CGAU,4,5,5
CHD,4,5,5
CHE,4,5,5
CHRD,4,5,5
CHT,2,6,2
CHX,2,2,2
CIVI,0,6,0
CL,4,4,5
CLAR,4,4,5
CLB,4,5,5
CLF,2,4,2
CLWT,2,4,2
CLX,4,5,5
CMC,4,5,5
CMCO,4,5,5
CMI,4,5,5
CMP,4,5,5
CMRE,4,5,5
CMRE-PB,4,5,5
CMRE-PC,4,5,5
CMRE-PD,4,5,5
CMRE-PE,4,5,5
CMS,4,5,5
CMS-PB,4,5,5
CMS-PC,0,4,0
CMTL,4,5,5
CNHI,2,4,2
CNI,2,4,2
CNK,2,4,2
CNMD,4,5,5
CNP,4,5,5
CNQ,4,5,5
CNXN,2,4,2
CODI,4,5,5
CODI-PA,4,4,5
CODI-PB,4,5,5
CODI-PC,4,4,5
COHU,2,4,2
COKE,4,5,5
COLD,4,5,5
COO,0,4,0
COP,4,5,5
COR,4,4,5
COST,4,5,5
COTY,2,4,2
CP,4,5,5
CPA,2,4,2
CPAC,2,4,2
CPB,4,5,5
CPK,4,5,5
CPLP,4,4,5
CPSI,2,2,2
CQP,4,5,5
CRC,0,4,0
CRESY,2,4,2
CRH,0,4,0
CRI,0,4,0
CRK,2,4,2
CRS,4,5,5
CSAN,2,4,2
CSCO,4,5,5
CSL,4,5,5
CSPI,2,2,2
CSTE,2,4,2
CSV,4,5,5
CSWI,4,5,5
CSX,4,5,5
CTA-PA,4,5,5
CTA-PB,4,5,5
CTAS,0,6,0
CTRA,4,5,5
CTRN,2,4,2
CTS,4,5,5
CTVA,4,5,5
CUK,2,4,2
CULP,4,4,5
CVE,0,4,0
CVGW,2,4,2
CVI,0,6,0
CVLG,2,4,2
CVS,4,5,5
CVX,4,5,5
CW,4,5,5
CWCO,4,5,5
CWEN,4,5,5
CWEN-A,4,5,5
CWH,4,5,5
CWT,4,5,5
CXDO,2,4,2
CXT,4,5,5
CYD,2,4,2
D,4,5,5
DAC,0,4,0
DAKT,2,4,2
DAL,2,4,2
DAN,0,4,0
DBI,2,4,2
DCI,4,5,5
DD,4,4,5
DDS,4,5,5
DE,4,5,5
DELL,2,4,2
DEO,0,6,0
DG,4,5,5
DGX,4,5,5
DHR,4,5,5
DHT,4,5,5
DINO,0,4,0
DK,0,4,0
DKL,4,5,5
DKS,4,5,5
DLB,4,5,5
DLNG-PA,4,5,5
DLNG-PB,4,5,5
DLX,4,5,5
DNUT,0,4,0
DOLE,0,4,0
DOOO,2,2,2
DOV,4,5,5
DOW,4,5,5
DPZ,4,5,5
DRD,0,4,0
DRI,4,5,5
DSX,0,4,0
DSX-PB,4,5,5
DTE,4,5,5
DUK,4,5,5
DUK-PA,4,5,5
DVN,4,5,5
E,0,4,0
EAF,4,5,5
EAT,2,4,2
EBF,4,5,5
EBR,2,4,2
EBR-B,2,4,2
EC,6,3,3
ECL,4,5,5
ECVT,2,6,2
ED,4,5,5
EDUC,0,4,0
EE,2,4,2
EFXT,4,5,5
EGLE,0,6,0
EGP,4,5,5
EGY,2,4,2
EIX,4,5,5
EL,4,4,5
ELP,0,4,0
ELTK,2,4,2
EMBC,2,4,2
EME,4,5,5
EML,4,5,5
EMN,4,5,5
EMR,4,5,5
ENB,4,5,5
ENIC,2,2,2
ENLC,4,5,5
ENR,4,5,5
ENS,4,5,5
ENTG,4,5,5
EOG,4,5,5
EPAC,2,2,2
EPC,0,4,0
EPD,4,5,5
EPRT,4,5,5
EQNR,4,5,5
ERIC,0,4,0
ES,4,5,5
ESCA,4,5,5
ESE,4,4,5
ESEA,2,4,2
ESI,0,4,0
ESLT,4,4,5
ESS,4,5,5
ET,4,5,5
ETD,4,5,5
ETI-P,4,5,5
ETN,4,5,5
ETR,4,5,5
ETRN,4,5,5
EURN,4,4,5
EVA,4,5,5
EVRG,4,5,5
EWCZ,2,6,2
EXC,4,5,5
EXP,0,4,0
F,0,4,0
FANG,4,5,5
FAST,4,5,5
FAT,0,4,0
FATBB,0,4,0
FATBP,1,5,1
FBIN,4,5,5
FBIOP,1,5,1
FCFS,4,5,5
FCPT,4,5,5
FCX,0,4,0
FDP,4,5,5
FDX,4,5,5
FE,4,5,5
FELE,4,5,5
FERG,0,6,0
FF,4,5,5
FIX,4,5,5
FL,4,4,5
FLNG,4,4,5
FLO,4,5,5
FLS,4,5,5
FLXS,4,5,5
FMC,4,5,5
FMS,2,4,2
FMX,0,4,0
FORTY,0,4,0
FPI,4,5,5
FR,4,5,5
FRO,2,4,2
FSS,4,5,5
FSV,4,5,5
FTAI,4,5,5
FTAIN,0,4,0
FTAIO,4,5,5
FTAIP,4,5,5
FTI,2,4,2
FTS,4,5,5
FTV,4,5,5
FUL,4,5,5
FUN,2,4,2
GATX,4,5,5
GBX,4,5,5
GD,4,5,5
GE,4,5,5
GEF,4,4,5
GEF-B,4,5,5
GEL,4,5,5
GES,4,4,5
GFF,4,5,5
GFI,0,4,0
GFL,4,5,5
GGB,4,5,5
GGG,4,5,5
GHC,4,5,5
GHG,2,4,2
GHM,0,4,0
GIC,4,5,5
GIL,0,4,0
GILD,4,5,5
GILT,2,4,2
GIS,4,5,5
GLOG-PA,4,5,5
GLP,4,5,5
GLP-PA,4,5,5
GLP-PB,0,4,0
GLT,4,4,5
GLW,4,5,5
GM,2,2,2
GNE,4,4,5
GNK,4,5,5
GOGL,0,4,0
GOLD,4,5,5
GOLF,4,5,5
GOOD,1,5,1
GOODN,1,5,1
GOODO,4,5,5
GPC,4,5,5
GPI,4,4,5
GPK,4,5,5
GPRK,4,4,5
GPS,0,4,0
GRC,4,5,5
GRFS,2,4,2
GRIN,0,6,0
GSK,4,5,5
GSL,0,4,0
GSL-PB,4,5,5
GT,2,4,2
GTY,4,5,5
GVA,4,5,5
GWW,4,5,5
GYRE,5,6,6
H,2,4,2
HA,2,4,2
HAL,4,5,5
HAS,4,5,5
HAYN,4,5,5
HBB,4,5,5
HBI,4,5,5
HBM,0,4,0
HCA,4,4,5
HCC,4,5,5
HCSG,4,5,5
HD,4,5,5
HEES,4,5,5
HEI,0,4,0
HEI-A,0,4,0
HES,4,5,5
HI,4,5,5
HIBB,0,4,0
HII,4,5,5
HIMX,2,4,2
HL,4,5,5
HLIO,4,5,5
HMC,0,4,0
HMY,2,4,2
HNI,4,5,5
HNRG,2,4,2
HOFT,4,5,5
HOG,4,5,5
HOLI,2,4,2
HON,4,5,5
HOVNP,0,4,0
HP,4,5,5
HPE,4,5,5
HPK,0,4,0
HPP,4,5,5
HPP-PC,2,4,2
HPQ,4,5,5
HRL,4,5,5
HSY,4,5,5
HTHT,2,4,2
HUBB,4,5,5
HUN,4,5,5
HURC,4,5,5
HWKN,4,5,5
HWM,0,4,0
HXL,0,4,0
