Ticker,Inventory,Working Capital,Total Assets,Current Assets,Current Liabilities,Cash And Cash Equivalents,Total Debt,Stockholders Equity,Invested Capital,Reconciled Cost Of Revenue,Operating Revenue,Ebitda,Ebit,Interest Expense,Gross Profit,Net Income,mean,count
A,862666666.6666666,1985333333.3333333,10288000000.0,3664000000.0,1678666666.6666667,1326000000.0,2619000000.0,5189000000.0,7808000000.0,2846666666.6666665,6168666666.666667,1631666666.6666667,1316333333.3333333,81000000.0,3322000000.0,1061000000.0,0.19841666666666669,12.0
AA,1927000000.0,1936000000.0,14880333333.333334,4932000000.0,2996000000.0,1594666666.6666667,2118666666.6666667,4353000000.0,6403333333.333333,9111333333.333334,11296333333.333334,1485000000.0,840333333.3333334,149000000.0,2185000000.0,45333333.333333336,0.1,5.0
AACG,,-191265139.33333334,519087037.0,87203090.66666667,278468230.0,79680997.66666667,41648470.333333336,176424429.33333334,178691429.33333334,100083599.33333333,190399295.33333334,-50601345.0,-75777998.66666667,,90315696.0,-57913511.333333336,,
AACIW,,-1368623.5,151101974.5,578345.0,1946968.5,417584.0,251754.0,149155006.0,149280883.0,,0.0,-4503115.0,-4503115.0,,,-3622794.0,,
AACT,,-453049.5,465006.5,1225.0,454274.5,,207551.0,10732.0,218283.0,,0.0,-3542.0,-3542.0,,,-3542.0,,
AACT-UN,,-453049.5,465006.5,1225.0,454274.5,,207551.0,10732.0,218283.0,,0.0,-3542.0,-3542.0,,,-3542.0,,
AADI,930500.0,95273333.33333333,120324000.0,116662000.0,21388666.666666668,64154333.333333336,4174000.0,94117333.33333333,97494000.0,667500.0,10072000.0,-57364666.666666664,-57455666.666666664,570000.0,7440500.0,-58027000.0,,
AAGR,432294.0,-5755968.0,9264718.5,1102557.5,6858525.5,14575.5,12215465.0,-8771662.0,2260223.5,392175.5,339598.0,-13808325.5,-14144494.5,724325.0,-52577.5,-14830944.5,,
AAGRW,432294.0,-5755968.0,9264718.5,1102557.5,6858525.5,14575.5,12215465.0,-8771662.0,2260223.5,392175.5,339598.0,-13808325.5,-14144494.5,724325.0,-52577.5,-14830944.5,,
AAL,1896000000.0,-4457000000.0,64397000000.0,14566666666.666666,19023666666.666668,319333333.3333333,43628333333.333336,-6668666666.666667,28770000000.0,31450666666.666668,29488333333.333332,-607666666.6666666,-2942000000.0,1663000000.0,612666666.6666666,-3583666666.6666665,0.1,1.0
