Ticker,Lloyd's Algorithm,Frank-wolfe Algorithm,Trace Maximization
A,0.0,0.0,0.0
AA,0.0,0.0,0.0
AAL,0.0,0.0,0.0
AAN,0.0,0.0,0.0
AAON,0.0,0.0,0.0
AAP,0.0,0.0,0.0
AAPL,0.0,0.0,0.0
ABBV,0.0,0.0,0.0
ABEV,0.0,0.0,0.0
ABT,0.0,0.0,0.0
ACA,0.0,0.0,0.0
ACCO,0.0,0.0,0.0
ACI,0.0,0.0,0.0
ADEA,0.0,0.0,0.0
ADI,0.0,0.0,0.0
ADM,0.0,0.0,0.0
ADT,0.0,0.0,0.0
ADTN,0.0,0.0,0.0
AEE,0.0,0.0,0.0
AEIS,0.0,0.0,0.0
AEM,0.0,0.0,0.0
AEO,0.0,0.0,0.0
AEP,0.0,0.0,0.0
AES,0.0,0.0,0.0
AG,0.0,0.0,0.0
AGCO,0.0,0.0,0.0
AGI,0.0,0.0,0.0
AGR,0.0,0.0,0.0
AGRO,0.0,0.0,0.0
AHT-PD,0.0,0.0,0.0
AHT-PF,0.0,0.0,0.0
AHT-PG,0.0,0.0,0.0
AHT-PH,0.0,0.0,0.0
AHT-PI,0.0,0.0,0.0
AIN,0.0,0.0,0.0
AIR,0.0,0.0,0.0
AIRTP,0.0,0.0,0.0
AIT,0.0,0.0,0.0
ALB,0.0,0.0,0.0
ALC,0.0,0.0,0.0
ALCO,0.0,0.0,0.0
ALE,0.0,0.0,0.0
ALEX,0.0,0.0,0.0
ALG,0.0,0.0,0.0
ALGT,0.0,0.0,0.0
ALK,0.0,0.0,0.0
ALLE,0.0,0.0,0.0
ALNT,0.0,0.0,0.0
ALOT,0.0,0.0,0.0
ALSN,0.0,0.0,0.0
ALTG,0.0,0.0,0.0
ALTG-PA,0.0453795861361315,0.0489798581302625,0.0453795861361315
ALV,0.0,0.0,0.0
AMAT,0.0,0.0,0.0
AMBP,0.0,0.0,0.0
AMC,0.0,0.0,0.0
AMCR,0.0,0.0,0.0
AME,0.0,0.0,0.0
AMGN,0.0,0.0,0.0
AMKR,0.0,0.0,0.0
AMR,0.0,0.0,0.0
AMRK,0.0,0.0,0.0
AMX,0.0,0.0,0.0
ANDE,0.0,0.0,0.0
ANF,0.0049733274673347,0.0,0.0049733274673347
AOS,0.0,0.0,0.0
APA,0.0,0.0,0.0
APD,0.0,0.0,0.0
APH,0.0,0.0,0.0
APOG,0.0,0.0,0.0
APTV,0.0,0.0,0.0
AQN,0.0,0.0,0.0
AQNU,0.0,0.0,0.0
ARC,0.0,0.0,0.0
ARCH,0.0,0.0,0.0
ARCO,0.0,0.0,0.0
ARKO,0.0,0.0,0.0
ARKR,0.0,0.0,0.0
ARLP,0.0,0.0,0.0
ARMK,0.0,0.0,0.0
AROC,0.0,0.0,0.0
ARQ,0.0,0.0,0.0
ARTNA,0.0,0.0,0.0
ASAI,0.0,0.0,0.0
ASC,0.0,0.0,0.0
ASH,0.0,0.0,0.0
ASIX,0.0,0.0,0.0
ASML,0.0,0.0,0.0
ASO,0.0,0.0,0.0
ASR,0.0,0.0,0.0
ASTE,0.0,0.0,0.0
ASTL,0.0,0.0,0.0
ASX,0.0,0.0,0.0
ATCO-PD,0.0,0.0,0.0
ATCO-PH,0.0,0.0,0.0
ATEN,0.0,0.0,0.0
ATNI,0.0,0.0,0.0
ATO,0.0,0.0,0.0
ATR,0.0,0.0,0.0
AU,0.0,0.0,0.0
AUDC,0.0,0.0,0.0
AUVIP,0.0,0.0,0.0
AVA,0.0,0.0,0.0
AVD,0.0,0.0,0.0
AVGO,0.0,0.0,0.0
AVNT,0.0,0.0,0.0
AVT,0.0,0.0,0.0
AVY,0.0,0.0,0.0
AWI,0.0,0.0,0.0
AWK,0.0,0.0,0.0
AWR,0.0,0.0,0.0
AY,0.0,0.0,0.0
AYI,0.0,0.0,0.0
AZN,0.0,0.0,0.0
AZTA,0.0,0.0,0.0
AZZ,0.0,0.0,0.0
B,0.0,0.0,0.0
BA,0.0,0.0,0.0
BAK,0.0,0.0,0.0
BALL,0.0,0.0,0.0
BALY,0.0,0.0,0.0
BAX,0.0,0.0,0.0
BBW,0.0,0.0,0.0
BBWI,0.0,0.0,0.0
BBY,0.0,0.0,0.0
BC,0.0,0.0,0.0
BCC,0.0,0.0,0.0
BCE,0.0,0.0,0.0
BCPC,0.0,0.0,0.0
BDC,0.0,0.0,0.0
BDX,0.0,0.0,0.0
BEDU,0.0,0.0,0.0
